"WARD","ALDERMAN","ADDRESS","CITY","STATE","ZIPCODE","WARD PHONE","WARD FAX","EMAIL","WEBSITE","LOCATION","CITY HALL ADDRESS","CITY HALL CITY","CITY HALL STATE","CITY HALL ZIPCODE","CITY HALL PHONE","PHOTO LINK"
"31","Cardona, Jr., Felix","4606 West Diversey Avenue","Chicago","IL","60639","(773) 824-2000","(773) 826-2006","Ward31@cityofchicago.org",,"    (41.93170020380832, -87.74223193063077)","121 North LaSalle Street, Room 200, Office 19","Chicago","IL","60602","(312) 744-6102/6123","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/1C8E86C8-FB88-EC11-8D20-001DD804FD38.jpg"
"32","Waguespack, Scott","2657 North Clybourn Avenue","Chicago","IL","60614","(773) 248-1330","(773) 248-1360","Ward32@cityofchicago.org","http://www.ward32.org","    (41.930025458043694, -87.67533353648614)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6567/6574","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/239D3A1D-FA88-EC11-8D20-001DD804FD38.jpg"
"33","Rodriguez Sanchez, Rossana","4747 North Sawyer Avenue","Chicago","IL","60625","(773) 840-7880",,"Ward33@cityofchicago.org",,"    (41.968005438203654, -87.70953804126412)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-3373/3379/1367","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/176937CC-9378-EC11-8940-001DD804DD33.jpg"
"34","Conway, William","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6820",,"Ward34@cityofchicago.org",,"    (41.8837645981034, -87.63227535353653)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6820/6829","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/4C380420-6CF3-ED11-A7C6-001DD804FC2B.jpg"
"35","Quezada, Anthony J.","2934 North Milwaukee Avenue, Unit C","Chicago","IL","60618","(773) 887-3772","773) 887-5739","ward35@cityofchicago.org",,"    (41.93447944793928, -87.71650804469363)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6835/3109/6845","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/A32C8E68-7415-F011-9989-001DD806C140.jpg"
"36","Villegas, Gilbert","6560 West Fullerton Avenue, Unit C118, Suite A; 2246 West Chicago Avenue","Chicago","IL","60707; 60622","(773) 745-4636",,"Ward36@cityofchicago.org","http://www.36thward.org","    (41.92375020104243, -87.78988085962634)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-4324/4325/3701","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/9E0A3436-FB88-EC11-8D20-001DD804FD38.jpg"
"37","Mitts, Emma","4924 West Chicago Avenue","Chicago","IL","60651","(773) 379-0960","(773) 773-0966","Ward37@cityofchicago.org","https://www.cityofchicago.org/city/en/about/wards/37.html","    (41.89508654852823, -87.74929345475809)","121 North LaSalle Street, Room 300, Office 45","Chicago","IL","60602","(312) 744-8019/5686/1454","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/970B1AB5-FA88-EC11-8D20-001DD804FD38.jpg"
"38","Sposato, Nicholas","3821 North Harlem Avenue","Chicago","IL","60634","(773) 283-3838","(773) 283-3235","Ward38@cityofchicago.org","http://aldermansposato.com/","    (41.94955968466883, -87.80700865598575)","121 North LaSalle Street, Room 200, Office 2","Chicago","IL","60602","(312) 744-6857/7947/1836","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/40781120-F888-EC11-8D20-001DD804FD38.jpg"
"39","Nugent, Samantha","4200 West Lawrence Avenue","Chicago","IL","60630","(773) 736-5594",,"Ward39@cityofchicago.org","http://www.ward39@cityofchicago.org","    (41.96829475983867, -87.73303178301441)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-7242/7243/3023","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/7C82104C-F888-EC11-8D20-001DD804FD38.jpg"
"40","Vasquez, Jr., Andre","5620 North Western Avenue","Chicago","IL","60659","(773) 654-1867",,"Ward40@cityofchicago.org","http://www.40thward.org","    (41.983823999137584, -87.68960791902764)","121 North LaSalle Street, Room 200","Chicago","IL","60602","(312) 744-6858/7248/3511","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/9DB0248A-F988-EC11-8D20-001DD804FD38.jpg"
"41","Napolitano, Anthony V.","7231 West Touhy Avenue","Chicago","IL","60631","(773) 631-2241","(773) 631-2479","Ward41@cityofchicago.org","http://www.chicago41.com","    (42.011575450983166, -87.80791272486715)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-3942/3208","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/55B86EA2-F988-EC11-8D20-001DD804FD38.jpg"
"42","Reilly, Brendan","121 North LaSalle Street, Room 200, Office 6","Chicago","IL","60602","(312) 642-4242","(312) 642-0420","Ward42@cityofchicago.org",,"    (41.8837645981034, -87.63227535353653)","121 North LaSalle Street, Room 200, Office 6","Chicago","IL","60602","(312) 642-4242","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/DE5B6D97-FC72-EC11-8F8E-001DD804F74D.jpg"
"43","Knudsen, Timothy R.","2523 North Halsted Street","Chicago","IL","60614","(773) 348-9500","(773) 348-9594","Ward43@cityofchicago.org","https://ward43.org","    (41.92803651624157, -87.64870672342613)","121 North LaSalle Street, Room 200","Chicago","IL","60602","(312) 744-3071/5685","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/75B69F92-D740-ED11-9DAF-001DD8309496.jpg"
"44","Lawson, Bennett R.","3223 North Sheffield Avenue, Suite A","Chicago","IL","60657","(773) 525-6034",,"Ward44@cityofchicago.org",,"    (41.940630765022604, -87.6539821039758)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-3073/3133","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/1628D550-6CF3-ED11-A7C6-001DD804FC2B.jpg"
"45","Gardiner, James M.","5460 N. Milwaukee Ave","Chicago","IL","60630","(773) 853-0799",,"Ward45@cityofchicago.org","http://www.aldermangardiner.com","    (41.980733083375114, -87.77253948587003)","121 North LaSalle Street, Room 200","Chicago","IL","60602","(312) 744-6841/5684","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/A29D73BA-F988-EC11-8D20-001DD804FD38.jpg"
"46","Clay, Angela","4544 North Broadway","Chicago","IL","60640","(312) 744-6831",,"Ward46@cityofchicago.org",,"    (41.96480726420425, -87.65725830786599)","121 N. La Salle Room 200","Chicago","IL","60602","312-744-6831/5694","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/5F4C907D-6CF3-ED11-A7C6-001DD804FC2B.jpg"
"47","Martin, Matthew J.","4243 North Lincoln Avenue","Chicago","Illinois","60618","(773) 868-4747",,"Ward47@cityofchicago.org","http://www.aldermanmartin.com","    (41.95894228986967, -87.6819497564818)","121 North LaSalle Street, Room 200, Office 7","Chicago","IL","60602","(312) 744-4021/0446/3778","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/A218F4F8-F988-EC11-8D20-001DD804FD38.jpg"
"48","Manaa-Hoppenworth, Leni","1129  West Bryn Mawr Avenue","Chicago","IL","60660","(773) 784-5277",,"Ward48@cityofchicago.org","https://www.the48thward.org/","    (41.98352752486251, -87.65923528396505)","121 North Lasalle, Room 300","Chicago","IL","60602","(312) 744-6860/6834","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/561B99CA-6CF3-ED11-A7C6-001DD804FC2B.jpg"
"49","Hadden, Maria E.","1447 West Morse Avenue","Chicago","IL","60626","(773) 338-5796",,"Ward49@cityofchicago.org","http://www.49thward.org","    (42.00776549837537, -87.66777445467486)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-3067/3080/1672","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/124700E1-FB88-EC11-8D20-001DD804FD38.jpg"
"50","Silverstein, Debra L.","2949 West Devon Avenue","Chicago","IL","60659","(773) 262-1050","(773) 381-2970","Ward50@cityofchicago.org","http://50thwardchicago.com","    (41.99737352590612, -87.70402724196445)","121 North LaSalle Street, Room 300, Office 24","Chicago","IL","60602","(312) 744-6855/5680/3180","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/0F96F023-FB88-EC11-8D20-001DD804FD38.jpg"
